ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,Time_taken(min),Shelf_life(days)
0x3AAB,MYSRES01DEL01,35,4,16.41200698,120.6028402,12.351072,76.694878,03/01/2022,14:55:00,15:10:00,conditions Windy,High ,Lettuce ,truck ,1,No ,(min) 33,3
0x689B,PUNERES20DEL01,33,4.2,16.41938692,120.5970147,18.702718,73.883572,3/16/2022,20:30:00,20:40:00,conditions Rainy,Jam ,Cabbage ,motorcycle ,1,No ,(min) 40,7
0x6F67,HYDRES14DEL01,34,4.9,16.39540607,120.5805326,17.496228,78.477495,3/20/2022,20:40:00,20:50:00,conditions Cloudy,Jam ,Cabbage ,motorcycle ,0,No ,(min) 41,7
0xC9CF,KOLRES15DEL03,21,4.7,16.41609016,120.5967951,22.582672,88.382885,2/15/2022,21:15:00,21:30:00,conditions Windy,Jam ,Lettuce ,motorcycle ,1,No ,(min) 15,3
0x36B8,PUNERES19DEL02,25,4.1,16.40832314,120.5939583,18.643935,73.995367,3/16/2022,20:20:00,20:25:00,conditions Rainy,Jam ,Cabbage ,motorcycle ,2,No ,(min) 36,7
0x5795,RANCHIRES06DEL02,31,4.7,16.41153639,120.602579,23.487804,85.455146,03/10/2022,22:30:00,22:45:00,conditions Rainy,Low ,Lettuce ,van ,0,No ,(min) 26,3
0x6C6B,COIMBRES13DEL01,37,5,16.41576535,120.5994149,11.013669,76.986494,03/11/2022,8:15:00,8:30:00,conditions Rainy,Low ,Cabbage ,motorcycle ,1,No ,(min) 20,7
0xB816,CHENRES19DEL02,33,4.3,16.41103914,120.6115046,13.116047,80.348114,3/27/2022,19:30:00,19:45:00,conditions Windy,Jam ,Lettuce ,truck ,1,No ,(min) 39,3
0x539B,MUMRES02DEL01,25,4,16.40480096,120.5946538,19.261315,72.902381,3/26/2022,12:25:00,12:30:00,conditions Cloudy,High ,Potatoes ,motorcycle ,1,No ,(min) 34,7
0xA1B2,CHENRES01DEL01,29,4.5,16.4143106,120.5826375,13.115801,80.360744,3/27/2022,18:35:00,18:50:00,conditions Sunny,Medium ,Lettuce ,van ,1,No ,(min) 15,3
0x3231,JAPRES16DEL03,27,5,16.39774704,120.5648151,26.879596,75.830512,04/05/2022,20:35:00,20:40:00,conditions Stormy,Jam ,Cabbage ,motorcycle ,0,No ,(min) 18,7
0x8BC0,SURRES15DEL03,35,4.3,16.38848362,120.5976024,21.250522,72.861477,03/12/2022,23:20:00,23:30:00,conditions Cloudy,Low ,Lettuce,truck ,0,No ,(min) 38,3
0x2288,BANGRES09DEL03,32,4,16.39437109,120.6002203,13.024179,77.705797,3/16/2022,21:20:00,21:35:00,conditions Windy,Jam ,Potatoes ,motorcycle ,1,No ,(min) 47,7
0x3C5E,PUNERES04DEL01,23,4.8,16.41112675,120.566918,18.62421,73.948429,04/02/2022,23:35:00,23:45:00,conditions Windy,Low ,Carrots ,van ,0,No ,(min) 12,7
0x3E60,COIMBRES02DEL03,31,4.8,16.41392608,120.5829683,11.052477,77.025667,04/01/2022,22:35:00,22:50:00,conditions Rainy,Low ,Lettuce,motorcycle ,1,No ,(min) 26,3
0xBFF,SURRES16DEL02,36,4.1,16.41433774,120.5919376,21.210437,72.824209,03/05/2022,22:35:00,22:40:00,conditions Stormy,Low ,Lettuce,motorcycle ,1,No ,(min) 22,3
0xD936,GOARES15DEL02,26,4.3,16.41429658,120.5826679,15.56315,73.83346,02/11/2022,23:25:00,23:35:00,conditions Rainy,Low ,Potatoes ,motorcycle ,0,No ,(min) 21,7
0xD681,GOARES07DEL01,38,4.9,16.41474941,120.579578,15.601295,73.789478,02/11/2022,13:35:00,13:40:00,conditions Cloudy,High ,Lettuce ,truck ,1,No ,(min) 25,3
0x30C8,PUNERES19DEL02,32,4.6,16.39877628,120.5791917,18.693935,74.045367,04/02/2022,22:35:00,22:45:00,conditions Cloudy,Low ,Potatoes ,truck ,1,No ,(min) 30,7
0xB843,PUNERES02DEL01,33,4.9,16.40001136,120.5839983,18.62144,73.874855,03/08/2022,18:55:00,19:10:00,conditions Sunny,Medium ,Cabbage ,motorcycle ,1,No ,(min) 22,7
0xB3A0,PUNERES18DEL01,20,4.7,16.41689003,120.598847,18.633481,73.825901,04/03/2022,14:15:00,14:25:00,conditions Windy,High ,Cabbage ,truck ,0,No ,(min) 10,7
0x6531,SURRES08DEL01,20,4.8,16.43158564,120.5730978,21.183343,72.802731,3/30/2022,11:00:00,11:10:00,conditions Rainy,Low ,Lettuce ,truck ,1,No ,(min) 19,3
0x4BDA,HYDRES17DEL02,35,5,16.41864829,120.6204858,17.471976,78.405883,04/01/2022,9:45:00,9:55:00,conditions Sunny,Low ,Cabbage ,truck ,1,No ,(min) 11,7
0x9D26,BANGRES17DEL02,26,4.9,16.37163743,120.5788659,12.992532,77.628179,3/28/2022,8:40:00,8:55:00,conditions Stormy,Low ,Potatoes ,truck ,0,No ,(min) 11,7
0x9B18,BANGRES17DEL01,22,4.8,16.38333086,120.6232833,13.042532,77.678179,3/18/2022,23:00:00,23:10:00,conditions Fog,Low ,Cabbage ,motorcycle ,1,No ,(min) 28,7
0x5D99,CHENRES11DEL01,35,4.3,16.41186153,120.62294,13.134181,80.306442,3/14/2022,17:25:00,17:30:00,conditions Cloudy,Medium ,Cabbage ,motorcycle ,1,No ,(min) 33,7
0xB796,SURRES17DEL03,37,4.7,16.41698819,72.772697,21.239569,72.862697,04/04/2022,19:45:00,19:50:00,conditions Rainy,Jam ,Cabbage ,motorcycle ,3,No ,(min) 52,7
0x85B4,MUMRES07DEL01,28,4.6,19.091458,120.6085699,19.201458,72.937808,03/08/2022,19:10:00,19:25:00,conditions Stormy,Jam ,Carrots ,truck ,1,No ,(min) 22,7
0xC644,KOLRES16DEL02,37,4.9,16.40641744,120.6163036,22.559129,88.385507,2/13/2022,10:55:00,11:00:00,conditions Fog,Low ,Carrots ,truck ,1,No ,(min) 16,3
0x6999,MUMRES02DEL03,23,4.9,16.4115222,120.6229555,19.281315,72.922381,3/24/2022,21:40:00,21:45:00,conditions Sunny,Jam ,Potatoes ,van ,0,No ,(min) 11,7
0x63B6,BANGRES05DEL03,27,4.9,16.41009411,120.6228188,13.030324,77.705748,3/19/2022,19:00:00,19:15:00,conditions Windy,Medium ,Potatoes ,truck ,1,No ,(min) 25,7
0xA30B,CHENRES11DEL01,37,4.8,16.41243741,120.6192531,13.104181,80.276442,03/09/2022,16:45:00,16:55:00,conditions Cloudy,Medium ,Potatoes ,motorcycle ,1,No ,(min) 26,7
0x3556,SURRES09DEL01,33,5,16.41422548,120.6212104,21.185975,72.805503,3/19/2022,11:30:00,11:40:00,conditions Sunny,High ,Cabbage ,truck ,1,No ,(min) 18,7
0x5554,RANCHIRES15DEL01,31,4.9,16.41591647,120.60782,23.409746,85.37982,04/03/2022,15:10:00,15:15:00,conditions Fog,Medium ,Cabbage ,motorcycle ,1,No ,(min) 16,7
0x25FD,BANGRES19DEL01,31,4.8,16.41270006,120.605783,13.024264,77.7884,3/25/2022,22:45:00,22:55:00,conditions Stormy,Low ,Lettuce,truck ,1,No ,(min) 23,3
0x7AC8,COIMBRES14DEL02,28,4.8,16.40870762,120.6105416,11.083681,77.055525,04/04/2022,20:45:00,20:55:00,conditions Rainy,Jam ,Lettuce,motorcycle ,1,No ,(min) 36,3
0x3DA1,SURRES08DEL03,31,4.7,16.40295574,120.6020818,21.233343,72.852731,3/26/2022,22:50:00,23:05:00,conditions Cloudy,Low ,Cabbage ,motorcycle ,0,No ,(min) 16,7
0x272D,COIMBRES07DEL03,24,4.7,16.40304141,120.5991792,11.05185,77.061082,03/10/2022,17:55:00,18:00:00,conditions Sunny,Medium ,Potatoes ,motorcycle ,0,No ,(min) 19,7
0xDDC5,AGRRES12DEL03,39,4.6,16.40266199,120.6071534,27.255108,78.105053,2/14/2022,22:45:00,23:00:00,conditions Sunny,Low ,Cabbage ,motorcycle ,1,No ,(min) 27,7
0xB002,JAPRES14DEL01,32,4.5,16.3993187,120.6088174,26.89842,75.810689,3/26/2022,9:25:00,9:40:00,conditions Windy,Low ,Potatoes ,truck ,0,No ,(min) 20,7
0x8AA2,JAPRES18DEL02,25,4.8,16.39846161,120.6082904,26.993987,75.832891,3/29/2022,22:25:00,22:35:00,conditions Rainy,Low ,Lettuce,truck ,0,No ,(min) 18,3
0xB55A,MYSRES04DEL03,33,4.9,16.39835883,120.6083975,12.3385,76.695808,3/30/2022,21:55:00,22:00:00,conditions Sunny,Jam ,Potatoes ,truck ,0,No ,(min) 22,7
0x73CC,SURRES12DEL01,30,4.4,16.39819439,120.6082408,21.253434,72.884492,03/12/2022,22:40:00,22:55:00,conditions Cloudy,Low ,Potatoes ,truck ,1,No ,(min) 34,7
0xBE80,MUMRES04DEL01,33,5,16.39864012,120.6088813,19.364567,72.958923,3/31/2022,23:50:00,23:55:00,conditions Rainy,Low ,Carrots ,motorcycle ,0,No ,(min) 24,7
0x1609,PUNERES02DEL01,36,4.9,16.39906528,120.6089603,18.59144,73.844855,3/17/2022,15:25:00,15:40:00,conditions Fog,Medium ,Lettuce,truck ,1,No ,(min) 17,3
0xD255,ALHRES07DEL02,21,4.8,16.404034,81.839744,25.469659,81.859744,2/15/2022,10:20:00,10:30:00,conditions Rainy,Low ,Lettuce ,van ,0,No ,(min) 14,3
0xDE72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,2/15/2022,20:55:00,21:00:00,conditions Stormy,Jam ,Lettuce ,convertible ,1,No ,(min) 30,3
0xA258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,3/16/2022,20:10:00,20:15:00,conditions Cloudy,Jam ,Cabbage ,truck ,1,No ,(min) 36,7
0x8B53,SURRES11DEL01,22,4.7,16.40403408,120.6213182,21.197735,72.808778,3/17/2022,12:10:00,12:15:00,conditions Sunny,High ,Potatoes ,truck ,1,No ,(min) 18,7
0xBBDE,SURRES01DEL01,32,4.6,16.39178691,120.6080096,21.226438,72.834115,3/15/2022,15:30:00,15:45:00,conditions Fog,Medium ,Lettuce ,truck ,0,No ,(min) 17,3
0xA9F,BANGRES13DEL01,33,4.1,16.40132806,120.5836766,12.975662,77.65413,03/11/2022,13:35:00,15:30:00,conditions Summer,Low,Lettuce,truck ,0,No ,(min) 19,3
0x4B7F,HYDRES13DEL03,26,4.7,16.39510115,120.587303,17.491477,78.46035,03/05/2022,23:50:00,0:05:00,conditions Fog,Low ,Potatoes ,motorcycle ,0,No ,(min) 10,7
0xB962,CHENRES11DEL03,35,4.1,16.3992696,120.5862408,13.154181,80.326442,03/12/2022,20:25:00,20:40:00,conditions Rainy,Jam ,Potatoes ,motorcycle ,2,No ,(min) 37,7
0x633C,BANGRES010DEL03,39,4.6,16.39460184,120.5712447,13.023298,77.704293,3/29/2022,20:50:00,21:00:00,conditions Fog,Jam ,Lettuce,truck ,2,No ,(min) 44,3
0x2DC6,VADRES20DEL01,34,4.7,16.39361374,120.5736372,22.351358,73.204798,3/19/2022,12:35:00,12:45:00,conditions Windy,High ,Lettuce,van ,1,No ,(min) 28,3
0x903A,BANGRES11DEL01,27,4.7,16.3994342,120.5861514,13.044365,77.726155,03/10/2022,21:00:00,21:15:00,conditions Cloudy,Jam ,Cabbage ,truck ,1,No ,(min) 42,7
0x1FB7,CHENRES02DEL01,25,4.4,16.39695373,120.5820101,13.196438,80.330672,3/27/2022,18:15:00,18:20:00,conditions Cloudy,Medium ,Cabbage ,truck ,1,No ,(min) 39,7
0x34D7,MUMRES04DEL01,25,4.7,16.40214799,120.5806467,19.364567,72.958923,3/27/2022,18:20:00,18:25:00,conditions Stormy,Medium ,Lettuce ,motorcycle ,0,No ,(min) 20,3
0x156B,JAPRES03DEL02,30,5,16.41337262,120.5857317,26.933483,75.823139,3/24/2022,11:45:00,11:50:00,conditions Stormy,High ,Potatoes ,motorcycle ,1,No ,(min) 31,7
0x56AD,HYDRES04DEL03,24,4.6,16.41455993,120.5866477,17.471028,78.389645,03/09/2022,20:45:00,20:55:00,conditions Stormy,Jam ,Potatoes ,motorcycle ,0,No ,(min) 13,7
0x837C,PUNERES14DEL02,39,4.8,16.41389932,120.5877797,18.566216,73.892527,03/03/2022,21:55:00,22:10:00,conditions Stormy,Jam ,Lettuce ,motorcycle ,0,No ,(min) 28,3
0xCBC4,GOARES04DEL01,25,4.8,16.41208487,120.5916694,15.6096,73.782294,2/15/2022,12:45:00,12:50:00,conditions Windy,High ,Cabbage ,truck ,1,No ,(min) 19,7
0xC19E,AURGRES08DEL02,37,4.6,16.41120462,120.5912229,19.956428,75.444792,2/18/2022,23:30:00,23:45:00,conditions Fog,Low ,Potatoes ,motorcycle ,2,Yes ,(min) 42,7
0x1D60,BANGRES12DEL01,24,5,16.41089712,120.5903549,12.949496,77.635999,03/01/2022,10:50:00,10:55:00,conditions Fog,Low ,Potatoes ,motorcycle ,1,No ,(min) 23,7
0x95FB,HYDRES05DEL01,25,4.2,16.4108225,120.59032,17.543809,78.496744,3/23/2022,21:25:00,21:40:00,conditions Stormy,Jam ,Lettuce ,motorcycle ,1,No ,(min) 39,3
0x8195,RANCHIRES17DEL01,32,4.6,16.41078996,120.5906215,23.384878,85.345739,04/01/2022,10:10:00,10:20:00,conditions Stormy,Low ,Lettuce,motorcycle ,1,No ,(min) 25,3
0xC042,AGRRES010DEL01,34,4.7,16.41098614,120.5899791,27.233303,78.127044,2/16/2022,23:00:00,23:05:00,conditions Rainy,Low ,Carrots ,truck ,0,No ,(min) 15,3
0x6D19,INDORES12DEL02,38,4.9,16.41098871,120.589442,22.76806,75.9134,03/11/2022,8:40:00,8:55:00,conditions Cloudy,Low ,Potatoes ,truck ,1,No ,(min) 15,7
0x35E6,JAPRES15DEL03,36,4.8,16.41126991,120.5915113,26.981191,75.892083,3/14/2022,17:50:00,17:55:00,conditions Sunny,Medium ,Potatoes ,van ,0,No ,(min) 15,7
0xB437,SURRES16DEL01,25,5,16.41173239,120.5929952,21.270437,72.884209,3/18/2022,20:25:00,20:40:00,conditions Stormy,Jam ,Lettuce ,motorcycle ,0,No ,(min) 15,3
0x97E3,MYSRES16DEL02,29,5,16.41174783,120.592558,12.366967,76.653067,04/01/2022,22:20:00,22:25:00,conditions Sunny,Low ,Potatoes ,motorcycle ,0,No ,(min) 18,7
0xA3E0,MUMRES05DEL03,36,4.7,16.41200255,120.5924903,19.017584,72.922585,04/04/2022,23:40:00,23:50:00,conditions Rainy,Low ,Lettuce,van ,0,No ,(min) 29,3
0x4161,COIMBRES19DEL02,33,4.7,16.41202571,120.5925413,11.072298,77.048349,03/11/2022,23:25:00,23:30:00,conditions Fog,Low ,Cabbage ,motorcycle ,0,No ,(min) 20,7
0x1236,MYSRES07DEL01,36,4.4,16.41226756,120.592548,12.365461,76.672278,3/13/2022,12:40:00,12:55:00,conditions Cloudy,High ,Lettuce ,truck ,1,No ,(min) 39,3
0x2558,PUNERES17DEL01,21,4.8,16.41294183,120.5916446,18.640963,73.938972,03/04/2022,23:30:00,23:45:00,conditions Windy,Low ,Cabbage ,motorcycle ,0,No ,(min) 19,7
0x3185,HYDRES19DEL03,25,4.8,16.41228193,120.5920568,17.488998,78.530366,3/26/2022,23:55:00,0:10:00,conditions Cloudy,Low ,Cabbage ,truck ,1,No ,(min) 19,7
0x3C57,MUMRES14DEL02,23,4.8,16.41449347,120.5935413,19.3113,72.966191,3/16/2022,22:50:00,23:00:00,conditions Windy,Low ,Lettuce ,motorcycle ,0,No ,(min) 17,3
0x4863,COIMBRES02DEL01,25,4.6,16.41448242,120.5942337,11.032477,77.005667,03/01/2022,10:25:00,10:40:00,conditions Stormy,Low ,Cabbage ,motorcycle ,1,No ,(min) 15,7
0x6757,INDORES05DEL02,24,4.3,16.41467474,120.5936195,22.747021,75.904167,3/15/2022,8:45:00,9:00:00,conditions Rainy,Low ,Lettuce ,motorcycle ,0,No ,(min) 19,3
0x22AD,BANGRES03DEL03,27,4.6,16.41465994,120.5937744,13.069166,77.730709,03/04/2022,21:25:00,21:40:00,conditions Rainy,Jam ,Potatoes ,motorcycle ,1,No ,(min) 29,7
0x9F99,MUMRES11DEL01,23,4.8,16.41485548,120.5936128,19.104237,72.935553,3/18/2022,22:35:00,22:40:00,conditions Cloudy,Low ,Cabbage ,truck ,1,No ,(min) 22,7
0x6781,MYSRES12DEL02,21,4.3,16.41471269,120.5945462,12.414747,76.755861,3/23/2022,20:10:00,20:20:00,conditions Fog,Jam ,Lettuce,truck ,0,No ,(min) 42,3
0x1B8D,SURRES09DEL02,27,4.7,16.41494924,120.5936799,21.195975,72.815503,3/15/2022,10:55:00,11:10:00,conditions Rainy,Low ,Cabbage ,truck ,0,No ,(min) 12,7
0x1AEA,COIMBRES12DEL02,32,4.2,16.41494989,120.5938871,11.130762,77.111876,03/08/2022,20:35:00,20:45:00,conditions Cloudy,Jam ,Cabbage ,motorcycle ,1,No ,(min) 38,7
0x1E42,SURRES08DEL01,25,4.6,16.41519032,120.59404,21.283343,72.902731,03/10/2022,23:20:00,23:35:00,conditions Sunny,Low ,Potatoes ,motorcycle ,1,No ,(min) 23,7
0xDDC8,KNPRES05DEL02,39,4.7,16.4155345,120.5942636,26.499108,80.335042,02/11/2022,10:35:00,10:50:00,conditions Cloudy,Low ,Lettuce ,truck ,0,No ,(min) 15,3
0x24AC,SURRES05DEL02,27,4.6,16.41535185,120.5968453,21.255104,72.884342,3/14/2022,23:45:00,23:50:00,conditions Sunny,Low ,Cabbage ,motorcycle ,1,No ,(min) 24,7
0x3F01,MUMRES15DEL01,39,3.8,16.41542904,120.5967869,19.286269,72.946721,3/16/2022,19:55:00,20:00:00,conditions Windy,Jam ,Potatoes ,motorcycle ,0,No ,(min) 37,7
0x628C,BANGRES15DEL02,31,4.8,16.41584536,120.5969476,13.025377,77.746664,03/01/2022,22:15:00,22:25:00,conditions Rainy,Low ,Cabbage ,truck ,0,No ,(min) 24,7
0x6C38,RANCHIRES11DEL03,31,4.8,16.41577203,120.5969449,23.419194,85.385447,03/01/2022,23:10:00,23:15:00,conditions Sunny,Low ,Potatoes ,van ,0,No ,(min) 13,7
0x4BEB,MYSRES08DEL01,20,4.8,16.41577203,120.5967947,12.307954,76.675169,3/30/2022,9:15:00,9:30:00,conditions Cloudy,Low ,Carrots ,motorcycle ,0,No ,(min) 16,7
0x8339,RANCHIRES07DEL02,36,4.9,16.41583571,120.5967397,23.439407,85.405055,03/02/2022,18:25:00,18:35:00,conditions Cloudy,Medium ,Carrots ,motorcycle ,1,No ,(min) 42,7
0x3EC5,RANCHIRES01DEL03,20,4.9,16.41696027,120.5949609,23.506792,85.406842,3/20/2022,22:10:00,22:20:00,conditions Rainy,Low ,Lettuce ,motorcycle ,1,No ,(min) 17,3
0xADB4,JAPRES17DEL03,24,4.6,16.4163873,120.5959475,26.922313,75.836896,04/03/2022,20:50:00,21:05:00,conditions Cloudy,Jam ,Potatoes ,motorcycle ,0,No ,(min) 25,7
0x6E2,VADRES06DEL01,25,4,16.41654199,120.5967008,22.42279,73.280283,04/02/2022,15:35:00,18:25:00,conditions Summer,Low,Cabbage ,van ,0,No ,(min) 25,7
0x2BC0,INDORES14DEL01,39,4.2,16.41695306,120.595281,22.871593,75.996362,3/29/2022,18:45:00,18:50:00,conditions Fog,Medium ,Cabbage ,truck ,0,No ,(min) 39,7
0x99E7,COIMBRES17DEL01,37,4.8,16.4170158,120.5965373,11.066117,76.984652,3/17/2022,14:55:00,15:05:00,conditions Sunny,High ,Lettuce ,truck ,0,No ,(min) 18,3
0x39EF,CHENRES11DEL01,32,4.9,16.41711047,120.5963532,13.104181,80.276442,3/17/2022,16:50:00,17:00:00,conditions Rainy,Medium ,Potatoes ,motorcycle ,1,No ,(min) 28,7
0xE264,KNPRES17DEL02,22,4.5,16.41675535,120.596352,26.533042,80.367833,2/15/2022,22:20:00,22:35:00,conditions Rainy,Low ,Potatoes ,truck ,1,No ,(min) 18,7
0xBD03,COIMBRES12DEL02,23,4.9,16.41653408,120.5967007,11.130762,77.111876,3/18/2022,0:00:00,0:15:00,conditions Windy,Low ,Lettuce ,truck ,0,No ,(min) 18,3
0x9A29,RANCHIRES04DEL01,33,4.7,16.41638237,120.5970357,23.469033,85.435347,03/08/2022,21:10:00,21:20:00,conditions Fog,Jam ,Cabbage ,truck ,1,No ,(min) 49,7
0xD0E5,KOLRES17DEL03,23,4.1,16.41595848,120.597818,22.599358,88.463452,2/17/2022,23:25:00,23:35:00,conditions Sunny,Low ,Potatoes ,motorcycle ,0,No ,(min) 15,7
0xA480,BANGRES19DEL02,27,4.6,16.41642421,120.5977024,12.994264,77.7584,3/31/2022,23:30:00,23:35:00,conditions Sunny,Low ,Potatoes ,motorcycle ,1,No ,(min) 21,7
0xB46C,MUMRES17DEL01,34,4.7,16.41780574,120.5952727,19.161999,72.948493,03/01/2022,14:20:00,14:35:00,conditions Sunny,High ,Cabbage ,truck ,0,No ,(min) 23,7
0x7150,SURRES14DEL01,26,5,16.41863653,120.5987416,21.167729,72.778726,04/03/2022,10:15:00,10:25:00,conditions Fog,Low ,Lettuce ,truck ,1,No ,(min) 11,3
0x1E58,VADRES14DEL03,31,4.6,16.417158,120.5985315,22.371603,73.225012,3/24/2022,21:20:00,21:35:00,conditions Cloudy,Jam ,Cabbage ,motorcycle ,0,No ,(min) 25,8
0x4460,PUNERES09DEL02,32,4.9,16.41720343,120.5985744,18.556562,73.916485,03/07/2022,8:50:00,8:55:00,conditions Fog,Low ,Cabbage ,motorcycle ,0,No ,(min) 18,7
0x977D,INDORES19DEL02,27,4.7,16.41725211,120.5986308,22.765536,75.913106,03/09/2022,9:00:00,9:05:00,conditions Cloudy,Low ,Potatoes ,motorcycle ,0,No ,(min) 14,7
0x1602,BANGRES010DEL03,21,4.9,16.41733649,120.5986849,13.023298,77.704293,03/12/2022,17:45:00,18:00:00,conditions Windy,Medium ,Potatoes ,motorcycle ,2,No ,(min) 36,7
0x894E,BANGRES12DEL02,28,4.8,16.41728088,120.5987153,12.989496,77.675999,3/24/2022,23:10:00,23:15:00,conditions Fog,Low ,Potatoes ,motorcycle ,0,No ,(min) 18,7
0x655,HYDRES14DEL01,33,4.4,16.41749378,120.5988743,17.436228,78.417495,03/05/2022,8:30:00,8:40:00,conditions Rainy,Low ,Cabbage ,motorcycle ,1,No ,(min) 28,7
0x20F6,BANGRES11DEL03,20,4.6,16.41764108,120.5989292,13.024365,77.706155,3/18/2022,20:35:00,20:50:00,conditions Fog,Jam ,Potatoes ,motorcycle ,0,Yes ,(min) 44,7
0x3DB1,COIMBRES13DEL03,31,4.3,16.41869316,120.5986221,11.063669,77.036494,3/13/2022,23:25:00,23:40:00,conditions Windy,Low ,Cabbage ,motorcycle ,1,No ,(min) 20,7
0x1EC7,PUNERES05DEL03,32,4.2,16.41837541,120.598838,18.573626,73.935101,03/09/2022,12:40:00,23:40:00,conditions Stormy,Low ,Cabbage ,truck ,0,No ,(min) 19,7
0x8ED2,VADRES20DEL01,36,5,16.41892343,120.5984538,22.381358,73.234798,3/31/2022,19:55:00,20:05:00,conditions Fog,Jam ,Cabbage ,motorcycle ,1,No ,(min) 35,7
0x64CC,CHENRES19DEL01,31,4.2,16.41885718,120.5985638,13.096047,80.328114,3/23/2022,21:20:00,21:30:00,conditions Rainy,Jam ,Lettuce ,motorcycle ,1,No ,(min) 50,3
0x2ED0,HYDRES02DEL03,39,4.1,16.41868801,120.5986281,17.47233,78.509654,3/24/2022,21:45:00,21:50:00,conditions Stormy,Jam ,Lettuce ,truck ,1,No ,(min) 34,3
0x4008,SURRES010DEL02,29,4.6,16.41928924,120.5984845,21.25106,72.869292,03/12/2022,19:40:00,19:55:00,conditions Sunny,Jam ,Carrots ,van ,0,No ,(min) 17,3
0x7553,SURRES03DEL01,29,4.6,16.4193407,120.5983772,21.226884,72.833616,03/03/2022,14:50:00,15:00:00,conditions Rainy,High ,Cabbage ,truck ,0,No ,(min) 23,7
0x35D8,COIMBRES17DEL03,37,4.9,16.41938315,120.5982927,11.056117,76.974652,03/09/2022,18:10:00,18:20:00,conditions Fog,Medium ,Potatoes ,motorcycle ,1,No ,(min) 27,7
